,State,CO2,CH4,N2O,CO2e,Annual NOX,Ozone Season NOX,SO2
0,AK,920.015,0.075,0.01,924.964,6.074,6.249,0.453
1,AL,750.8,0.055,0.008,754.477,0.245,0.243,0.134
2,AR,1086.931,0.091,0.013,1093.143,0.557,0.623,1.157
3,AZ,724.809,0.042,0.006,727.621,0.35,0.357,0.141
4,CA,479.005,0.025,0.003,480.495,0.435,0.397,0.015
5,CO,1216.915,0.113,0.016,1224.554,0.636,0.613,0.367
6,CT,515.143,0.048,0.006,518.132,0.229,0.224,0.034
7,DC,651.672,0.018,0.002,652.641,2.91,2.769,0.033
8,DE,867.498,0.04,0.005,870.064,0.364,0.359,0.317
9,FL,834.138,0.052,0.007,837.484,0.304,0.288,0.168
10,GA,758.082,0.064,0.009,762.426,0.312,0.267,0.248
11,HI,1490.972,0.164,0.025,1502.553,4.849,4.767,5.519
12,IA,768.928,0.081,0.012,774.429,0.53,0.665,0.802
13,ID,271.34,0.009,0.001,271.959,0.164,0.166,0.059
14,IL,653.049,0.063,0.009,657.322,0.309,0.342,0.722
15,IN,1632.59,0.152,0.022,1642.93,0.992,0.851,0.843
16,KS,838.186,0.095,0.014,844.64,0.581,0.624,0.155
17,KY,1727.086,0.186,0.027,1739.76,0.917,0.899,1.378
18,LA,826.042,0.04,0.006,828.738,0.647,0.692,0.738
19,MA,851.43,0.129,0.017,859.582,0.657,0.616,0.213
20,MD,698.189,0.058,0.008,702.004,0.226,0.213,0.241
21,ME,301.041,0.124,0.018,309.376,0.397,0.395,0.288
22,MI,1003.757,0.096,0.014,1010.281,0.779,0.81,0.951
23,MN,825.973,0.082,0.012,831.556,0.568,0.594,0.256
24,MO,1636.06,0.189,0.027,1648.98,1.348,1.204,2.631
25,MS,833.952,0.036,0.005,836.362,0.402,0.477,0.143
26,MT,1045.024,0.117,0.017,1053.043,0.851,0.833,1.072
27,NC,669.484,0.05,0.007,672.657,0.396,0.445,0.224
28,ND,1340.686,0.151,0.022,1350.962,1.315,1.387,1.639
29,NE,1124.84,0.13,0.019,1133.709,0.991,1.067,2.174
30,NH,304.042,0.063,0.008,308.045,0.15,0.124,0.044
31,NJ,480.917,0.035,0.004,483.134,0.229,0.235,0.046
32,NM,1134.307,0.097,0.014,1140.834,0.72,0.74,0.167
33,NV,715.075,0.028,0.004,716.864,0.496,0.562,0.128
34,NY,455.345,0.027,0.003,457.021,0.211,0.24,0.038
35,OH,1208.18,0.099,0.014,1214.858,0.601,0.467,1.216
36,OK,753.545,0.047,0.006,756.645,0.542,0.611,0.412
37,OR,325.804,0.015,0.002,326.719,0.451,0.461,0.015
38,PA,726.431,0.049,0.007,729.637,0.312,0.318,0.407
39,PR,1558.024,0.081,0.013,1563.896,3.219,3.02,3.284
40,RI,832.723,0.016,0.002,833.578,0.39,0.397,0.012
41,SC,567.026,0.05,0.007,570.394,0.238,0.227,0.179
42,SD,302.919,0.025,0.004,304.589,0.127,0.145,0.074
43,TN,698.276,0.065,0.009,702.647,0.265,0.277,0.366
44,TX,856.438,0.057,0.008,860.242,0.517,0.534,0.654
45,UT,1560.502,0.157,0.023,1571.196,1.638,1.649,0.65
46,VA,599.211,0.049,0.006,601.547,0.223,0.242,0.088
47,VT,36.045,0.137,0.018,44.834,0.159,0.151,0.017
48,WA,201.827,0.017,0.002,202.954,0.131,0.144,0.039
49,WI,1267.122,0.117,0.017,1274.933,0.515,0.57,0.221
50,WV,1944.146,0.223,0.032,1959.375,1.031,0.947,1.44
51,WY,1833.918,0.198,0.029,1847.419,1.202,1.31,1.16
52,U.S.,852.3,0.071,0.01,857.019,0.525,0.525,0.531
